"searchedTranscript","transcriptGene"
"ENST00000434227","HSPA12A"
"ENST00000434295","MROH8"
"ENST00000434342","SEMA3F"
"ENST00000434396","ANKRD63"
"ENST00000434469","NBEAL1"
"ENST00000434721","GTF2IRD1P1"
"ENST00000434749","LRRFIP2"
"ENST00000434838","NBPF3"
"ENST00000434848","HDAC11"
"ENST00000434893","GUSBP11"
"ENST00000434934","GALM"
"ENST00000435039","PCOTH"
"ENST00000435166","PICK1"
"ENST00000435213","GARNL3"
"ENST00000435216","CDCA4P4"
"ENST00000435257","TFPI2-DT"
"ENST00000435349","NCAPH"
"ENST00000435468","TBC1D2B"
"ENST00000435485","LINC01505"
"ENST00000435572","NFE2"
"ENST00000435616","CDCA7"
"ENST00000435630","CNOT10"
"ENST00000435717","CDCA7L"
"ENST00000435833","PDIA2"
"ENST00000435955","CEP162"
"ENST00000436153","DHDDS"
"ENST00000436177","VPS50"
"ENST00000436221","WIPF1"
"ENST00000436264","SERPINB4"
"ENST00000436271","RFX5"
"ENST00000436425","EWSR1"
"ENST00000436775","PLB1"
"ENST00000436782","SUMF2"
"ENST00000436858","LRRFIP2"
"ENST00000436863","CASP1"
"ENST00000437051","SGO1"
"ENST00000437268","OSBP2"
"ENST00000437363","DNAI1"
"ENST00000437411","DEPDC5"
"ENST00000437485","CASTOR3"
"ENST00000437606","ASAP3"
"ENST00000437867","SMIM2-AS1"
"ENST00000437871","SEC14L6"
"ENST00000438096","THRB-AS1"
"ENST00000438167","PLA2G10"
"ENST00000438304","FDPSP8"
"ENST00000438347","CCND3P1"
"ENST00000438453","MAP2K4P1"
"ENST00000438882","PLEKHB2"
"ENST00000438886","APEX1"
"ENST00000438925","MMS19"
"ENST00000439117","TSC2"
"ENST00000439367","DOCK9-AS1"
"ENST00000439531","PTGES3P1"
"ENST00000439558","APCDD1L-DT"
"ENST00000439568","ZSCAN32"
"ENST00000439600","LMO3"
"ENST00000439601","LINC01237"
"ENST00000439605","HSPD1"
"ENST00000439643","RPL37P13"
"ENST00000439673","TSC2"
"ENST00000439677","BANP"
"ENST00000439721","ARL4A"
"ENST00000439836","WDR82P1"
"ENST00000439915","ATAD2B"
"ENST00000439952","SAMD9L"
"ENST00000439957","CENPN"
"ENST00000440016","HOXD-AS2"
"ENST00000440090","LINC01010"
"ENST00000440102","ELAVL2"
"ENST00000440448","EIF4G1"
"ENST00000440473","GSAP"
"ENST00000440502","IL17RC"
"ENST00000440575","OSTM1"
"ENST00000440843","ABHD16A"
"ENST00000440890","BMPR1B"
"ENST00000440906","HELB"
"ENST00000440951","ATP1A1"
"ENST00000441017","TSPAN12"
"ENST00000441095","LINC01694"
"ENST00000441389","IGSF23"
"ENST00000441515","IL1RL2"
"ENST00000441560","ATL1"
"ENST00000441637","ITIH4"
"ENST00000441785","ARHGEF19"
"ENST00000441812","RBM5"
"ENST00000441829","FGF7P5"
"ENST00000441833","GSAP"
"ENST00000441846","PLCB4"
"ENST00000441933","TMEM184A"
"ENST00000441964","POMGNT2"
"ENST00000441974","ACOXL"
"ENST00000442037","H19"
"ENST00000442232","TTC28"
"ENST00000442296","MXI1"
"ENST00000442386","ACP1"
"ENST00000442396","ZNF839"
"ENST00000442440","LINC01431"
"ENST00000442587","RAD23B"
"ENST00000442721","TNXB"
"ENST00000442809","LINC01266"
"ENST00000442837","PHYHD1"
"ENST00000442860","CCDC18-AS1"
"ENST00000442869","RCL1"
"ENST00000442878","TJAP1"
"ENST00000442884","NXT1-AS1"
"ENST00000442892","SLC48A1"
"ENST00000442902","ERP29P1"
"ENST00000442928","TRAF3IP2-AS1"
"ENST00000442992","RAD51AP1"
"ENST00000443032","TTC21B-AS1"
"ENST00000443078","XPNPEP1"
"ENST00000443204","RNF123"
"ENST00000443566","FNBP1"
"ENST00000443598","HNF4A"
"ENST00000444021","RPL21P89"
"ENST00000444292","KAT7P1"
"ENST00000444450","IDH3G"
"ENST00000444559","ZEB2"
"ENST00000444657","C16orf46"
"ENST00000444832","E2F6"
"ENST00000444945","HNRNPA1P10"
"ENST00000444980","COX6CP2"
"ENST00000445153","SMARCAL1"
"ENST00000445183","MIGA2"
"ENST00000445203","ZGRF1"
"ENST00000445208","AP4M1"
"ENST00000445336","BRAFP1"
"ENST00000445338","RPL6P24"
"ENST00000445424","EIF4ENIF1"
"ENST00000445506","MSR1"
"ENST00000445553","HTR3C2P"
"ENST00000445701","IL5RA"
"ENST00000445722","RBBP4"
"ENST00000445855","R3HDM1"
"ENST00000445927","STPG4"
"ENST00000446102","GORAB-AS1"
"ENST00000446120","SLC44A3"
"ENST00000446152","KDM2B"
"ENST00000446190","EP400P1"
"ENST00000446221","GTF2H2C"
"ENST00000446361","MAPT"
"ENST00000446405","FTCD"
"ENST00000446678","FAM126B"
"ENST00000446765","DPY30"
"ENST00000446767","UNG"
"ENST00000446771","THAP5"
"ENST00000446891","SOX5"
"ENST00000446924","BRWD1"
"ENST00000446998","EEF1E1P1"
"ENST00000447098","PTCH2"
"ENST00000447125","LINC00189"
"ENST00000447177","BACH1"
"ENST00000447223","ACAA1"
"ENST00000447662","ACAP2"
"ENST00000447708","PMS2P10"
"ENST00000447802","ANKMY2"
"ENST00000447914","THAP12P8"
"ENST00000447915","CERCAM"
"ENST00000447996","ST13P20"
"ENST00000448043","CT45A11P"
"ENST00000448217","SCAP"
"ENST00000448332","EOLA1"
"ENST00000448439","MAPKAP1"
"ENST00000448607","FADS1"
"ENST00000448753","DEPDC5"
"ENST00000448782","NFE2L2"
"ENST00000448829","DHTKD1"
"ENST00000448847","PLXNB3"
"ENST00000448930","AURKC"
"ENST00000448993","SNORC"
"ENST00000449159","SMPD4"
"ENST00000449251","KIAA1109"
"ENST00000449409","ELP6"
"ENST00000449424","TMEM191C"
"ENST00000449481","SNRPGP12"
"ENST00000449512","ADHFE1"
"ENST00000449822","RSPH3"
"ENST00000450045","IP6K2"
"ENST00000450157","PPIEL"
"ENST00000450188","RPL39P"
"ENST00000450240","EXTL2"
"ENST00000450277","CCDC144B"
"ENST00000450375","PARL"
"ENST00000450457","ARL13A"
"ENST00000450491","CASP8"
"ENST00000450587","UBE2SP1"
"ENST00000450612","HORMAD2"
"ENST00000450635","MTHFD1L"
"ENST00000450678","RPL39P18"
"ENST00000450706","HIPK1-AS1"
"ENST00000450732","EXOG"
"ENST00000450772","WAS"
"ENST00000450814","TKT"
"ENST00000451002","INMT-MINDY4"
"ENST00000451078","MIDEAS"
"ENST00000451149","SLC16A1-AS1"
"ENST00000451199","CDKL4"
"ENST00000451331","SOS1"
"ENST00000451388","TPST1"
"ENST00000451520","TSPAN32"
"ENST00000451761","MIOX"
"ENST00000451859","RFX3"
"ENST00000451915","AURKA"
"ENST00000452018","AGTRAP"
"ENST00000452071","LOC154449"
"ENST00000452238","FAM118A"
"ENST00000452281","STAT1"
"ENST00000452315","SPRED2"
"ENST00000452335","DYTN"
"ENST00000452346","TMPRSS7"
"ENST00000452531","PFKFB4"
"ENST00000452788","NHS-AS1"
"ENST00000452980","UBXN11"
"ENST00000452983","ETNK2"
"ENST00000453347","LINC01768"
"ENST00000453533","RPL26P30"
"ENST00000453535","GSK3A"
"ENST00000453601","VLDLR-AS1"
"ENST00000453632","TTC28-AS1"
"ENST00000453713","IFITM3P2"
"ENST00000453844","RPL23AP3"
"ENST00000453875","HOTAIR"
"ENST00000453892","MMP24OS"
"ENST00000454035","MDH1"
"ENST00000454036","SLC12A5"
"ENST00000454215","FIG4"
"ENST00000454250","CHRNA7"
"ENST00000454291","MFNG"
"ENST00000454498","CSGALNACT1"
"ENST00000454541","RPS8P4"
"ENST00000454551","ETDA"
"ENST00000454563","BANP"
"ENST00000454662","ZNF226"
"ENST00000454693","NOS1AP"
"ENST00000454990","MIS18BP1"
"ENST00000455073","LAMA4"
"ENST00000455097","DYRK1A"
"ENST00000455104","YAP1P2"
"ENST00000455190","AKR1C2"
"ENST00000455246","HOTAIR"
"ENST00000455301","CNTNAP2"
"ENST00000455394","KIF3C"
"ENST00000455482","HDAC1P1"
"ENST00000455528","SON"
"ENST00000455539","ICA1"
"ENST00000455555","WDHD1"
"ENST00000455592","RPL12P25"
"ENST00000455663","FGF13"
"ENST00000455702","TNNT2"
"ENST00000455709","RNF32-AS1"
"ENST00000455814","LYRM4"
"ENST00000456071","USP32P1"
"ENST00000456091","LINC01203"
"ENST00000456190","ELOVL2-AS1"
"ENST00000456204","NIPSNAP2"
"ENST00000456249","AURKA"
"ENST00000456489","ITSN1"
"ENST00000456554","SNX18P4"
"ENST00000456560","SEMA3B"
"ENST00000456605","DRD5P1"
"ENST00000456674","AIDAP1"
"ENST00000456708","ATG9A"
"ENST00000456861","BTG4"
"ENST00000456871","RPSAP7"
"ENST00000457031","CARF"
"ENST00000457039","SMPD4"
"ENST00000457060","ANKRD62P1-PARP4P3"
"ENST00000457184","EPC2"
"ENST00000457279","LSP1"
"ENST00000457322","MED15"
"ENST00000457525","VSNL1"
"ENST00000457614","PARPBP"
"ENST00000457718","TNS3"
"ENST00000457761","HAT1"
"ENST00000457927","TEX264"
"ENST00000457934","SORBS2"
"ENST00000457954","ORC4"
"ENST00000458188","CLTCL1"
"ENST00000458220","GAS5"
"ENST00000458227","RPS13P5"
"ENST00000458249","ALDH7A1"
"ENST00000458373","CMAHP"
"ENST00000458442","TCEA2"
"ENST00000458452","INTS11"
"ENST00000458510","ATAD2B"
"ENST00000458574","MPC2"
"ENST00000458710","IFNA22P"
"ENST00000459229","SNORA84"
"ENST00000459678","RAD54L"
"ENST00000459753","WEE2-AS1"
"ENST00000459793","CAPG"
"ENST00000459820","B4GALT4"
"ENST00000459852","RAPGEF4"
"ENST00000459902","CKAP2"
"ENST00000459964","PHC2"
"ENST00000459998","ZNRF2"
"ENST00000460114","CCDC150"
"ENST00000460323","PI4KB"
"ENST00000460341","TMEM14B"
"ENST00000460465","CDK11A"
"ENST00000460509","VBP1"
"ENST00000460593","CPSF3"
"ENST00000460643","CYP24A1"
"ENST00000460684","SCG5-AS1"
"ENST00000460697","RN7SL72P"
"ENST00000460790","CSDC2"
"ENST00000460816","CENPL"
"ENST00000460841","C4A"
"ENST00000460876","RPS8P10"
"ENST00000460884","RNPEPL1"
"ENST00000460893","NT5C3B"
"ENST00000460906","UROD"
"ENST00000460909","RPUSD3"
"ENST00000460921","ACOX2"
"ENST00000460953","RN7SL666P"
"ENST00000460959","TEDC1"
"ENST00000460992","PTPN18"
"ENST00000461025","HADHA"
"ENST00000461049","KMT5AP3"
"ENST00000461051","ACSS2"
"ENST00000461079","FBXO24"
"ENST00000461122","PHF20"
"ENST00000461124","KLF6"
"ENST00000461125","ACTL6A"
"ENST00000461198","SMIM43"
"ENST00000461249","GPN1"
"ENST00000461345","TMEM176A"
"ENST00000461375","ST3GAL3"
"ENST00000461437","NUP50"
"ENST00000461479","DAP3"
"ENST00000461489","COL21A1"
"ENST00000461529","PRKAG2"
"ENST00000461580","CAMTA1"
"ENST00000461632","C4B"
"ENST00000461652","B3GLCT"
"ENST00000461657","FGF9"
"ENST00000461715","TMEM164"
"ENST00000461742","KIF21B"
"ENST00000461743","VPS52"
"ENST00000461827","APOBEC3G"
"ENST00000461856","MTHFD2L"
"ENST00000461890","SYS1"
"ENST00000461910","RHOBTB1"
"ENST00000462050","ABCG1"
"ENST00000462091","UMPS"
"ENST00000462125","AOPEP"
"ENST00000462265","OPN3"
"ENST00000462271","RN7SL98P"
"ENST00000462294","PIK3CB"
"ENST00000462309","COL4A2"
"ENST00000462322","SMKR1"
"ENST00000462343","RRM2"
"ENST00000462415","LAMA5"
"ENST00000462431","IL12A-AS1"
"ENST00000462442","IQCB1"
"ENST00000462497","PTPRG-AS1"
"ENST00000462519","ANKUB1"
"ENST00000462666","PLSCR1"
"ENST00000462737","LGALSL"
"ENST00000462830","PDCD10"
"ENST00000462889","FKBP15"
"ENST00000462961","ZNF619"
"ENST00000463018","DNAJC6"
"ENST00000463037","HSD17B7"
"ENST00000463173","PIGA"
"ENST00000463188","RNF25"
"ENST00000463206","PLPPR1"
"ENST00000463226","SIDT1"
"ENST00000463377","TCAM1P"
"ENST00000463387","VGLL4"
"ENST00000463483","ARHGAP25"
"ENST00000463488","EXOSC2"
"ENST00000463502","TANK"
"ENST00000463531","GRIN2A"
"ENST00000463627","CBWD2"
"ENST00000463696","TTF2"
"ENST00000463850","ZIC4"
"ENST00000463875","GTDC1"
"ENST00000464000","ITIH4"
"ENST00000464064","FAM107A"
"ENST00000464100","TAP2"
"ENST00000464170","CATSPERE"
"ENST00000464244","MCAT"
"ENST00000464327","THOC7"
"ENST00000464355","GLB1"
"ENST00000464364","DDOST"
"ENST00000464371","KHK"
"ENST00000464381","NCOR1"
"ENST00000464397","CCT7"
"ENST00000464458","MRPS5"
"ENST00000464493","SQSTM1"
"ENST00000464640","STX16"
"ENST00000464668","FAIM"
"ENST00000464709","DMKN"
"ENST00000464742","MAD1L1"
"ENST00000464754","BORA"
"ENST00000464756","NFXL1"
"ENST00000464771","MKI67"
"ENST00000464825","SFXN5"
"ENST00000464894","DMKN"
"ENST00000464951","PPM1J"
"ENST00000464956","USP40"
"ENST00000464971","RN7SL308P"
"ENST00000465092","CCDC150"
"ENST00000465177","MTND1P16"
"ENST00000465200","LCLAT1"
"ENST00000465296","TMEM37"
"ENST00000465306","TNS1"
"ENST00000465413","ALCAM"
"ENST00000465449","SHISA5"
"ENST00000465709","SUSD3"
"ENST00000465803","SIDT1"
"ENST00000465817","ARHGEF26"
"ENST00000465822","C1orf159"
"ENST00000465927","DMKN"
"ENST00000465940","RPSAP36"
"ENST00000465978","TSPEAR-AS2"
"ENST00000465998","TRNT1"
"ENST00000466097","SH3BP1"
"ENST00000466159","SYNE1"
"ENST00000466297","RPS12P29"
"ENST00000466350","NLGN1"
"ENST00000466498","LAMTOR4"
"ENST00000466558","CAND2"
"ENST00000466697","OTUD3"
"ENST00000466707","ABCA2"
"ENST00000466773","SLAMF9"
"ENST00000466874","FOXO4"
"ENST00000466892","HLA-C"
"ENST00000467022","NAA50"
"ENST00000467226","SPDYA"
"ENST00000467266","PHF19"
"ENST00000467399","RN7SL806P"
"ENST00000467539","CGREF1"
"ENST00000467605","ORC2"
"ENST00000467618","SPICE1"
"ENST00000467637","DMKN"
"ENST00000467654","FCGR2A"
"ENST00000467691","CASQ1"
"ENST00000467723","GALNT17"
"ENST00000467726","PHKG1"
"ENST00000467738","ACOX2"
"ENST00000467920","RANBP1"
"ENST00000467923","CDS2"
"ENST00000467985","COL7A1"
"ENST00000468053","ADAM15"
"ENST00000468096","STAT5A"
"ENST00000468099","GALT"
"ENST00000468127","CREB3L2"
"ENST00000468147","EIF4E3"
"ENST00000468157","WDR46"
"ENST00000468267","SSBP1"
"ENST00000468300","BRCA1"
"ENST00000468345","ADD3"
"ENST00000468372","MAD1L1"
"ENST00000468397","CDK11A"
"ENST00000468551","SLC26A3"
"ENST00000468570","SGIP1"
"ENST00000468617","CTSE"
"ENST00000468632","PAQR6"
"ENST00000468633","MSRB2"
"ENST00000468659","MCM2"
"ENST00000468668","LILRB3"
"ENST00000468714","TDRD10"
"ENST00000468753","COL4A3"
"ENST00000468866","TTC26"
"ENST00000468955","IGFBP1"
"ENST00000469033","NSUN7"
"ENST00000469068","FGFR3"
"ENST00000469187","TRIM6"
"ENST00000469227","LCP1"
"ENST00000469273","LILRB3"
"ENST00000469294","MFSD13A"
"ENST00000469313","RN7SL91P"
"ENST00000469327","ATPAF2"
"ENST00000469331","EIF2A"
"ENST00000469349","NBEAL2"
"ENST00000469369","SLC66A2"
"ENST00000469392","SLC26A9"
"ENST00000469477","TBC1D26"
"ENST00000469562","MFSD2B"
"ENST00000469576","KLHL7"
"ENST00000469578","RGS1"
"ENST00000469609","CEP85"
"ENST00000469616","NT5DC2"
"ENST00000469637","CASP9"
"ENST00000469701","TRAF2"
"ENST00000469714","REPS2"
"ENST00000469755","SUN1"
"ENST00000469786","PSMD4"
"ENST00000469827","PDHB"
"ENST00000469845","KLHL7"
"ENST00000469862","CENPF"
"ENST00000469895","TAF1B"
"ENST00000469918","NSUN4"
"ENST00000470014","GPATCH2"
"ENST00000470033","RXFP1"
"ENST00000470071","GPR39"
"ENST00000470092","HCK"
"ENST00000470158","C10orf88"
"ENST00000470173","BAP1"
"ENST00000470180","C1orf43"
"ENST00000470274","PI4KAP2"
"ENST00000470368","RPL29P30"
"ENST00000470394","ECE1"
"ENST00000470418","NT5M"
"ENST00000470537","XRN1"
"ENST00000470583","GLCCI1"
"ENST00000470631","SLC4A11"
"ENST00000470671","RPS4X"
"ENST00000470695","IFT88"
"ENST00000470785","RN7SL361P"
"ENST00000470799","COL16A1"
"ENST00000470868","EIF5B"
"ENST00000470872","TLE4"
"ENST00000470917","TSPO2"
"ENST00000471017","DMKN"
"ENST00000471041","ABCC4"
"ENST00000471088","LY6G5B"
"ENST00000471167","PRPF40A"
"ENST00000471205","RPS10P11"
"ENST00000471274","PTPRD"
"ENST00000471279","EYS"
"ENST00000471282","GLS2"
"ENST00000471314","CCDC180"
"ENST00000471348","NUDT1"
"ENST00000471457","ALDH9A1"
"ENST00000471569","TCF7L2"
"ENST00000471642","DAP3"
"ENST00000471668","MYT1L"
"ENST00000471677","LAMB4"
"ENST00000471728","PSEN2"
"ENST00000471740","PSRC1"
"ENST00000471788","FASTKD2"
"ENST00000471906","RNF182"
"ENST00000471937","PACC1"
"ENST00000471958","PARD3B"
"ENST00000472044","PTCD3"
"ENST00000472081","CEACAM4"
"ENST00000472170","TSPAN1"
"ENST00000472182","FAM221B"
"ENST00000472235","KIF2C"
"ENST00000472258","NKTR"
"ENST00000472276","PSPH"
"ENST00000472349","PLSCR1"
"ENST00000472363","RPS29P22"
"ENST00000472441","TM4SF1"
"ENST00000472514","MAGI1-AS1"
"ENST00000472515","ATRAID"
"ENST00000472520","PORCN"
"ENST00000472523","ZIC1"
"ENST00000472535","ADORA1"
"ENST00000472562","CCDC24"
"ENST00000472570","CENPV"
"ENST00000472602","KCNJ15"
"ENST00000472621","ARF3"
"ENST00000472639","PGM5"
"ENST00000472645","TIMM17B"
"ENST00000472704","CASK"
"ENST00000472764","KCNIP2"
"ENST00000472804","TNFSF10"
"ENST00000472826","PPEF1"
"ENST00000472846","FABP1"
"ENST00000472871","DCT"
"ENST00000472910","ATXN7L1"
"ENST00000472918","TFIP11"
"ENST00000472941","SERPINI1"
"ENST00000472958","EXD3"
"ENST00000473012","UROD"
"ENST00000473066","MRPL55"
"ENST00000473123","ZIC4"
"ENST00000473170","GIGYF2"
"ENST00000473172","ACSS2"
"ENST00000473240","GCA"
"ENST00000473288","TTI1"
"ENST00000473344","CKS1B"
"ENST00000473345","MCF2L"
"ENST00000473401","GSTO2"
"ENST00000473460","GINS1"
"ENST00000473476","CENPO"
"ENST00000473479","SEPTIN2"
"ENST00000473504","TYRP1"
"ENST00000473553","AASS"
"ENST00000473796","PDK4"
"ENST00000473797","GPCPD1"
"ENST00000473821","DAB1"
"ENST00000473859","NCKAP5"
"ENST00000473864","PA2G4P4"
"ENST00000474034","ZIC1"
"ENST00000474241","DPYD"
"ENST00000474350","NDUFV2"
"ENST00000474428","ARHGEF2"
"ENST00000474467","IQSEC1"
"ENST00000474528","SFXN5"
"ENST00000474548","MRPL38"
"ENST00000474557","HMGN1P10"
"ENST00000474615","OXTR"
"ENST00000474647","CCDC78"
"ENST00000474658","APTX"
"ENST00000474791","SLC26A10"
"ENST00000474824","KYAT1"
"ENST00000474837","SFMBT1"
"ENST00000474878","LAIR1"
"ENST00000474897","PEX26"
"ENST00000474928","DMKN"
"ENST00000474947","TFR2"
"ENST00000474950","TRAF2"
"ENST00000475049","SDHB"
"ENST00000475140","PDZD4"
"ENST00000475205","CCT8"
"ENST00000475251","SKA3"
"ENST00000475278","RSRC1"
"ENST00000475341","WBP2NL"
"ENST00000475388","DGKI"
"ENST00000475424","DAG1"
"ENST00000475439","PON3"
"ENST00000475502","ZIC4"
"ENST00000475522","ANKRD30A"
"ENST00000475557","ADAMTS9"
"ENST00000475680","UBE2E1"
"ENST00000475699","TAZ"
"ENST00000475766","RSRP1"
"ENST00000475800","SNX13"
"ENST00000475882","SGK1"
"ENST00000475912","PRKD3"
"ENST00000475921","SPEG"
"ENST00000475934","KLHDC9"
"ENST00000475969","DFFB"
"ENST00000475999","RN7SL302P"
"ENST00000476002","RPL3P10"
"ENST00000476006","IL6R"
"ENST00000476135","HDAC9"
"ENST00000476294","PPIP5K1"
"ENST00000476316","RN7SL16P"
"ENST00000476329","KIAA0319L"
"ENST00000476374","TCAM1P"
"ENST00000476428","MAP1LC3A"
"ENST00000476446","DHX30"
"ENST00000476458","CARMIL1"
"ENST00000476490","SERINC4"
"ENST00000476514","WASHC2A"
"ENST00000476537","PI4KAP2"
"ENST00000476565","IQGAP3"
"ENST00000476601","HLA-V"
"ENST00000476637","TBXAS1"
"ENST00000476660","HNRNPR"
"ENST00000476687","RAD54L"
"ENST00000476715","RPL14P3"
"ENST00000476716","USP34"
"ENST00000476720","ETV1"
"ENST00000476749","TCEAL2"
"ENST00000476776","SACS"
"ENST00000476799","FARP2"
"ENST00000476882","GIPC2"
"ENST00000476889","LRRC27"
"ENST00000476932","LIMS2"
"ENST00000476933","OMA1"
"ENST00000476936","CAPZA1"
"ENST00000476946","AFDN"
"ENST00000477038","SMYD5"
"ENST00000477061","SLCO2A1"
"ENST00000477088","MIGA2"
"ENST00000477152","BRCA1"
"ENST00000477155","CCDC30"
"ENST00000477200","PIKFYVE"
"ENST00000477284","STKLD1"
"ENST00000477320","MATN1"
"ENST00000477358","PGAP2"
"ENST00000477517","C1orf21"
"ENST00000477591","STIMATE"
"ENST00000477620","NUP205"
"ENST00000477668","MCM2"
"ENST00000477696","CD40"
"ENST00000477734","DYTN"
"ENST00000477875","FMO9P"
"ENST00000477952","TANK"
"ENST00000477983","LMBR1"
"ENST00000478058","TECTA"
"ENST00000478078","CREB5"
"ENST00000478110","PSMC1P1"
"ENST00000478197","C2orf88"
"ENST00000478208","PUS7"
"ENST00000478216","RC3H2"
"ENST00000478401","TRIM14"
"ENST00000478410","RBM10"
"ENST00000478515","ITPR1"
"ENST00000478527","SDK1"
"ENST00000478555","MFSD4A"
"ENST00000478564","RFX5"
"ENST00000478601","HSPBAP1"
"ENST00000478670","BUD23"
"ENST00000478805","MAP3K19"
"ENST00000478831","MED15"
"ENST00000478855","RN7SL709P"
"ENST00000478887","SFI1"
"ENST00000478895","FUOM"
"ENST00000478925","OR2A1-AS1"
"ENST00000478942","ZNF20"
"ENST00000479010","CREB3L4"
"ENST00000479158","CNKSR2"
"ENST00000479305","DENND1A"
"ENST00000479324","NR1I3"
"ENST00000479345","DHX57"
"ENST00000479424","ITSN1"
"ENST00000479548","C21orf62"
"ENST00000479584","CDK5RAP2"
"ENST00000479588","PTPRG-AS1"
"ENST00000479655","DNAJC16"
"ENST00000479668","REPIN1"
"ENST00000479669","MCM10"
"ENST00000479684","DRC3"
"ENST00000479686","ELOVL1"
"ENST00000479771","CP"
"ENST00000479772","GRIN3A"
"ENST00000479773","DDX43"
"ENST00000479776","SLC4A5"
"ENST00000479789","BAIAP2L1"
"ENST00000479795","TNXB"
"ENST00000479903","CCDC14"
"ENST00000479911","TECPR1"
"ENST00000480021","MELK"
"ENST00000480074","ARHGEF35-AS1"
"ENST00000480106","AGAP3"
"ENST00000480187","NUP58"
"ENST00000480188","C5"
"ENST00000480234","PTTG1IP"
"ENST00000480361","ZNF566"
"ENST00000480502","DMKN"
"ENST00000480529","NT5M"
"ENST00000480562","ABCF3"
"ENST00000480631","SEC22A"
"ENST00000480687","GMPPB"
"ENST00000480695","TRRAP"
"ENST00000480726","ZGLP1"
"ENST00000480802","HSPA12A"
"ENST00000480893","CRYZL1"
"ENST00000480909","FANCD2"
"ENST00000480910","MCM2"
"ENST00000480925","NANS"
"ENST00000480978","ACSS2"
"ENST00000481001","DALRD3"
"ENST00000481112","DMRTC1B"
"ENST00000481163","PRDM1"
"ENST00000481248","CYP4B1"
"ENST00000481249","NDUFAF5"
"ENST00000481256","LRRK2"
"ENST00000481285","LONRF3"
"ENST00000481286","SPINK5"
"ENST00000481392","METTL2B"
"ENST00000481595","DEFB124"
"ENST00000481609","ERG"
"ENST00000481681","RPL29P12"
"ENST00000481777","MRPL9"
"ENST00000481829","AIM2"
"ENST00000482013","GGPS1"
"ENST00000482124","CTTNBP2"
"ENST00000482194","ITM2A"
"ENST00000482207","ENOX1"
"ENST00000482474","YPEL5"
"ENST00000482505","PEAR1"
"ENST00000482506","RPL21P116"
"ENST00000482527","ABCB1"
"ENST00000482536","BTN2A2"
"ENST00000482547","MGMT"
"ENST00000482570","EIPR1"
"ENST00000482607","SVIL"
"ENST00000482706","SIAH2"
"ENST00000482740","SERPINA3"
"ENST00000482767","ZNF391"
"ENST00000482929","KIAA0319L"
"ENST00000482965","SNX4"
"ENST00000483239","TTC12"
"ENST00000483251","ATP6V1G2"
"ENST00000483297","AUTS2"
"ENST00000483395","DES"
"ENST00000483406","CTRC"
"ENST00000483448","SYPL1"
"ENST00000483517","EIF3I"
"ENST00000483600","AFF3"
"ENST00000483646","PLCG1"
"ENST00000483786","SLC4A2"
"ENST00000483835","TRIM5"
"ENST00000483843","AADACL2-AS1"
"ENST00000483873","GTF3C4"
"ENST00000483907","RPS3AP14"
"ENST00000483946","SIDT1"
"ENST00000484017","ASB9"
"ENST00000484027","SLC50A1"
"ENST00000484054","RHOC"
"ENST00000484058","SLC25A43"
"ENST00000484064","DMKN"
"ENST00000484161","RAB34"
"ENST00000484183","DNAH7"
"ENST00000484304","LCN12"
"ENST00000484313","ZEB2"
"ENST00000484355","RPL13P4"
"ENST00000484399","ZIC4"
"ENST00000484439","PPIL2"
"ENST00000484505","TAB2"
"ENST00000484792","PDZD4"
"ENST00000484817","IGKV2-24"
"ENST00000484873","CAPN8"
"ENST00000484920","CENPL"
"ENST00000484933","LINC01140"
"ENST00000484958","FXR1"
"ENST00000485158","NUP188"
"ENST00000485169","MYCBPAP"
"ENST00000485181","RAD51B"
"ENST00000485202","MRPS33"
"ENST00000485204","RN7SL240P"
"ENST00000485215","PTPRG"
"ENST00000485295","TCAM1P"
"ENST00000485309","FKBP9"
"ENST00000485358","TXNRD2"
"ENST00000485374","U2SURP"
"ENST00000485404","LINC00870"
"ENST00000485406","KIF4A"
"ENST00000485429","RN7SL647P"
"ENST00000485454","SFPQ"
"ENST00000485461","LARS2"
"ENST00000485464","HCRTR1"
"ENST00000485522","RN7SL344P"
"ENST00000485538","SLC37A3"
"ENST00000485659","MCM10"
"ENST00000485665","CA9"
"ENST00000485690","C2"
"ENST00000485761","CD34"
"ENST00000485768","MAST4"
"ENST00000485836","TPRG1"
"ENST00000485850","WASHC2C"
"ENST00000485867","SMC4"
"ENST00000485883","CHRD"
"ENST00000485929","ASIC3"
"ENST00000485959","MTIF3"
"ENST00000486013","EXOC4"
"ENST00000486138","CAMTA1"
"ENST00000486223","FREM1"
"ENST00000486285","SCG5-AS1"
"ENST00000486303","SLC19A1"
"ENST00000486408","PHF20"
"ENST00000486629","LMNTD2"
"ENST00000486631","PLSCR1"
"ENST00000486638","TCP11"
"ENST00000486694","NECTIN4"
"ENST00000486706","ZSWIM7"
"ENST00000486739","MIDEAS"
"ENST00000486756","DMKN"
"ENST00000486853","ENPP1"
"ENST00000486969","PLXNA2"
"ENST00000487091","CLIP2"
"ENST00000487146","RBM15"
"ENST00000487164","TCEA2"
"ENST00000487228","PNPLA7"
"ENST00000487256","CDHR4"
"ENST00000487260","TEX30"
"ENST00000487319","SLC37A3"
"ENST00000487341","GAS2L1"
"ENST00000487530","LYST"
"ENST00000487557","RLN1"
"ENST00000487705","C17orf67"
