"searchedTranscript","gene","EnsemblID","EntrezSummary","patient1_healthy","patient2_healthy","patient3_healthy","patient4_healthy","patient5_healthy","patient6_healthy","patient7_healthy","patient8_healthy","patient9_healthy","patient10_healthy","patient1_diseased","patient2_diseased","patient3_diseased","patient4_diseased","patient5_diseased","patient6_diseased","patient7_diseased","patient8_diseased","patient9_diseased","patient10_diseased","HealthyMean","DiseasedMean","FoldChange","DifferentialExpression"
"ENST00000433219","","ENSG00000235319","                                            ENSG00000235319  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.53,0,0,0,0,0.42,0,0,0,0,0.27,0,0.13,0,0,0,0,0,0,0,0.11,0.04,0.38,-0.07
"ENST00000433840","","ENSG00000228120","                                            ENSG00000228120  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.05,0,0.07,0,0.15,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0,0.03,0.01,0.39,-0.02
"ENST00000433997","","ENSG00000267026","                                            ENSG00000267026  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",17.73,67.19,24.2,35.36,37.43,15.78,6.67,15.69,4.9,7.11,6,20.67,24.35,16.6,5.64,4.84,5.58,11.32,9.86,7.04,25,11.19,0.45,-13.81
"ENST00000434291","","ENSG00000248751","                                            ENSG00000248751  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is TBC1D10A.",0,0,0.23,0,0,0,0.18,0.84,0.46,1.74,0,0.13,0,0,0,0,0,0.59,0,0.09,0.19,0.08,0.43,-0.11
"ENST00000434291","","ENSG00000248751","                                            ENSG00000248751  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is TBC1D10A.",0,0,0.23,0,0,0,0.18,0.84,0.46,1.74,0,0.13,0,0,0,0,0,0.59,0,0.09,0.19,0.08,0.43,-0.11
"ENST00000434300","","ENSG00000285280","                                            ENSG00000285280  is an Uncategorized gene.                                                                                                                                                                                ",0,0,1.42,0,0,0,0,1.65,0,0,0,0,1.46,0,0,0,0,0,0,0,0.34,0.15,0.43,-0.2
"ENST00000434363","","ENSG00000230084","                                            ENSG00000230084  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,1.33,0,0,1.39,0,0,0,0,0.7,0,0,0,0,0,0.67,0.3,0.14,0.45,-0.17
"ENST00000435281","","ENSG00000233379","                                            ENSG00000233379  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0.66,0,0.1,0.41,0,0,0,0,0,0,0,0,0,0.33,0,0.31,0,0.13,0.06,0.49,-0.07
"ENST00000435693","","ENSG00000228729","                                            ENSG00000228729  is a Pseudogene.                                                                                                                                                                                ",0,0,0,0,0,0.23,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.03,0.01,0.42,-0.01
"ENST00000437438","","ENSG00000215023","                                            ENSG00000215023  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.1,0,0.28,0.94,0,0.27,0,0.48,0,0,0.67,0.11,0,0.22,0,0,0,0,0,0,0.23,0.1,0.44,-0.13
"ENST00000437523","","ENSG00000228826","                                            ENSG00000228826  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.94,1.06,1.07,9.9,3.07,1.04,0,1.09,0,0,0.99,0,5.9,0,0,0.98,0,0,0,0,2.02,0.79,0.39,-1.23
"ENST00000438210","","ENSG00000228477","                                            ENSG00000228477  is a Pseudogene.                                                                                                                                                                                ",0,0.12,0.27,0,0.16,0.46,0.11,0.23,0.33,0.33,0.11,0.11,0,0,0.32,0,0,0.24,0,0,0.19,0.08,0.42,-0.11
"ENST00000438324","","ENSG00000232756","                                            ENSG00000232756  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0.22,0.88,0,2.09,0,0,0,0,1.37,0,0,0,0,0,0,0.14,0,0,0.35,0.15,0.43,-0.2
"ENST00000438639","","ENSG00000223829","                                            ENSG00000223829  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0.35,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.04,0.02,0.42,-0.02
"ENST00000438969","","ENSG00000228031","                                            ENSG00000228031  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.19,0.22,0.26,0,0.33,0,0.19,0.64,0,0,0,0,0.2,0,0.39,0,0,0.22,0,0,0.21,0.08,0.4,-0.12
"ENST00000439076","","ENSG00000236394","                                            ENSG00000236394  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0,0,0,0.61,0,0,0.31,0,0,0,0,0,0,0,0,0.07,0.03,0.47,-0.04
"ENST00000440038","","ENSG00000237094","                                            ENSG00000237094  is a Pseudogene.                                                                                                                                                                                ",0.17,0,0.21,0,0.42,0.13,0.19,1.19,0,0.36,0,0.74,0.19,0,0,0,0,0,0,0.16,0.26,0.11,0.43,-0.15
"ENST00000440224","","ENSG00000243621","                                            ENSG00000243621  is a Pseudogene.                                                                                                                                                                                ",0,1.79,0,0,0,1.31,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0.34,0.15,0.44,-0.19
"ENST00000440581","","ENSG00000234115","                                            ENSG00000234115  is a Pseudogene.                                                                                                                                                                                ",0,0,0.13,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.01,0.01,0.43,-0.01
"ENST00000440714","","ENSG00000237609","                                            ENSG00000237609  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,2.33,0,2.42,4.17,2.29,0,0,0,0,3.35,0,0,0,0,0,0,2.4,0,0,1.24,0.58,0.46,-0.67
"ENST00000440985","","ENSG00000225721","                                            ENSG00000225721  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,1.21,1.76,0.7,0,1.16,0.05,0,0,0.67,0,0.48,0,0,0.74,0.76,0,0,0,0.54,0.27,0.49,-0.28
"ENST00000441416","","ENSG00000236491","                                            ENSG00000236491  is a Pseudogene.                                                                                                                                                                                ",0,0,0,0,0.64,0,0.13,0,0.27,0,0.27,0.14,0.13,0,0,0,0,0,0,0,0.12,0.05,0.47,-0.06
"ENST00000441532","","ENSG00000234206","                                            ENSG00000234206  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,1.93,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0.82,0,0.86,1.05,0.56,0.27,0.49,-0.28
"ENST00000441746","","ENSG00000227161","                                            ENSG00000227161  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,4.8,0,2.14,0,0,0,1.05,0,0,0.99,0,0,1.02,0,0,0,0.77,0.31,0.4,-0.46
"ENST00000441772","","ENSG00000230080","                                            ENSG00000230080  is a Pseudogene.                                                                                                                                                                                ",0,0,0,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0.05,0,0,0.01,0.01,0.46,-0.01
"ENST00000442417","","ENSG00000225205","                                            ENSG00000225205  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.93,0.77,0.41,4.65,0.72,0.56,0.85,0.42,0.78,0.5,0.92,0.39,0.21,0.09,1.4,0,0.96,0.11,0.47,0.38,1.12,0.49,0.44,-0.63
"ENST00000442564","","ENSG00000225726","                                            ENSG00000225726  is a Pseudogene.                                                                                                                                                                                ",0,0.92,0,7.42,1.47,0.29,0,0.88,0.54,0,0.81,0.84,0.27,0,1.03,0.55,0.28,0.31,0,0.88,1.28,0.5,0.39,-0.78
"ENST00000442800","","ENSG00000281593","                                            ENSG00000281593  is a Protein Coding gene.                                                                                                                                                                                ",0,0,0,0,0.2,0,0,0,0.15,0,0,0,0,0,0,0,0,0.16,0,0,0.04,0.02,0.41,-0.02
"ENST00000443897","","ENSG00000234597","                                            ENSG00000234597  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0.04,0.04,0,0.05,0,0,0,0.12,0,0.08,0,0,0,0,0,0,0,0.04,0,0.03,0.01,0.44,-0.02
"ENST00000444478","","ENSG00000234698","                                            ENSG00000234698  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",2.37,0,1.16,3.2,0,0.84,0.38,0.88,0,0.4,0,1.65,0.39,0.79,1.11,0,0,0.46,0.43,0,0.98,0.48,0.49,-0.5
"ENST00000444708","","ENSG00000236687","                                            ENSG00000236687  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0.14,0,0.33,0,0.72,0,0.1,0,0.79,0.2,0.26,0,0,0,0,0,0,0,0.12,0.14,0.06,0.4,-0.09
"ENST00000445332","","ENSG00000236255","                                            ENSG00000236255  is an Uncategorized gene.                                                                                                                                                                                ",0,1.08,0,0.14,7.29,1.22,0,1.4,0.98,0.75,2.4,0.63,0.34,0.25,0.7,0.57,0.21,0.99,0,0.08,1.35,0.62,0.46,-0.73
"ENST00000445345","","ENSG00000225981","                                            ENSG00000225981  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",3.26,0,0.7,2.33,0,0.27,0.74,1.39,0.26,0,1.02,1.06,0.25,0,1.23,0,0.27,0,0,0.82,0.99,0.47,0.47,-0.53
"ENST00000445766","PRICKLE1","ENSG00000139174","This gene encodes a nuclear receptor that may be a negative regulator of the Wnt/beta-catenin signaling pathway. The encoded protein localizes to the nuclear membrane and has been implicated in the nuclear trafficking of the transcription repressors REST/NRSF and REST4. Mutations in this gene have been linked to progressive myoclonus epilepsy. Alternate splicing results in multiple transcript variants. A pseudogene of this gene is found on chromosome 3. [provided by RefSeq, Sep 2009]",1.21,0,1.13,2.55,1.77,1.15,2.2,3.75,0.37,0.47,0,1.29,1.34,0,1.5,0,0,0.75,1.42,1.24,1.57,0.75,0.48,-0.82
"ENST00000446309","","ENSG00000224046","                                            ENSG00000224046  is an Uncategorized gene.                                                                                                                                                                                ",0,0,0,0,0,0.85,0,0,0.81,0,0,0,0,0,0.73,0,0,0,0,0,0.18,0.07,0.4,-0.11
"ENST00000446476","","ENSG00000228692","                                            ENSG00000228692  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.49,1.33,0.42,0.75,0.6,0,0.09,0.18,0,0,0.34,0,0,0.56,0,0.62,0,0.45,0,0,0.43,0.2,0.46,-0.23
"ENST00000446626","","ENSG00000226007","                                            ENSG00000226007  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.16,0,0.25,0,0.11,0.16,0.15,0.2,0.16,0.03,0.08,0,0.11,0,0,0.14,0.05,0.03,0.07,0,0.13,0.05,0.37,-0.08
"ENST00000446626","","ENSG00000226007","                                            ENSG00000226007  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.16,0,0.25,0,0.11,0.16,0.15,0.2,0.16,0.03,0.08,0,0.11,0,0,0.14,0.05,0.03,0.07,0,0.13,0.05,0.37,-0.08
"ENST00000447037","","ENSG00000239415","                                            ENSG00000239415  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.28,0.27,2.38,0.56,0,0,0.3,0,0,0,0,0,0.78,0,0,0,0.16,0,0,1.05,0.42,0.2,0.47,-0.22
"ENST00000447099","","ENSG00000224256","                                            ENSG00000224256  is a Pseudogene.                                                                                                                                                                                ",1.18,0,0,0,0,0,1.36,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0.28,0.14,0.49,-0.14
"ENST00000447227","","ENSG00000228553","                                            ENSG00000228553  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,3.14,3.09,0.91,4.28,1.6,0.52,2.64,0.54,0,1.6,1.68,0,1.61,1.63,0,0,0,1.18,0.87,1.86,0.86,0.46,-1
"ENST00000447343","","ENSG00000229299","                                            ENSG00000229299  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.98,0.03,0.18,3.77,0.03,0.67,0,2.13,0,0,0,0,0.68,0.69,0,1.75,0,0.43,0,0,0.87,0.35,0.41,-0.51
"ENST00000447721","MARS1","ENSG00000166986","This gene encodes a member of the class I family of aminoacyl-tRNA synthetases. These enzymes play a critical role in protein biosynthesis by charging tRNAs with their cognate amino acids. The encoded protein is a component of the multi-tRNA synthetase complex and catalyzes the ligation of methionine to tRNA molecules. [provided by RefSeq, Jan 2011]",1.93,3.72,6.07,8.55,2.67,3.63,4.11,3.86,2.12,10.65,0.99,2.13,3.56,2.1,0,0,1.41,0.4,4.5,2.42,4.07,1.75,0.43,-2.32
"ENST00000447835","","ENSG00000225166","                                            ENSG00000225166  is an Uncategorized gene.                                                                                                                                                                                ",1.19,1.64,0.84,1.09,1.25,0.46,0.42,0.79,0.64,0,1.52,0.11,0.32,0.11,1.33,0.12,0,0.46,0.11,0,0.92,0.41,0.44,-0.51
"ENST00000448028","","ENSG00000226410","                                            ENSG00000226410  is a Pseudogene.                                                                                                                                                                                ",0,0,1.09,11.82,2.05,0,0,0,0,0,0,0,1.06,0,3.95,1.07,0,0,0,1.12,1.66,0.72,0.43,-0.94
"ENST00000448897","","ENSG00000232110","                                            ENSG00000232110  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,1.48,0,0,3.29,0,2.9,3.74,0,4.78,0,0,0,0,0,0,0,5.35,0.93,0,1.27,0.63,0.49,-0.64
"ENST00000449016","","ENSG00000237645","                                            ENSG00000237645  is a Pseudogene.                                                                                                                                                                                ",0,0,0,0,0.51,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.06,0.03,0.49,-0.03
"ENST00000450077","","ENSG00000232817","                                            ENSG00000232817  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0.12,0.89,0,0,0.12,0.11,0.12,0.18,0,0.22,0.23,0.22,0,0,0,0.12,0,0,0,0.17,0.08,0.46,-0.09
"ENST00000450480","","ENSG00000231295","                                            ENSG00000231295  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.39,0.46,0.54,3.01,1.38,1.31,0.4,1.98,1.03,5.19,1.23,0.21,0.2,0.2,0.2,0,0.86,0.92,0,1.23,1.28,0.5,0.4,-0.77
"ENST00000450704","","ENSG00000226007","                                            ENSG00000226007  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.46,0.19,0,0.29,0.2,0.23,0.06,0.18,0,0,0,0,0,0.05,0.11,0.16,0,0.11,0.06,0.31,0.18,0.08,0.44,-0.1
"ENST00000450704","","ENSG00000226007","                                            ENSG00000226007  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.46,0.19,0,0.29,0.2,0.23,0.06,0.18,0,0,0,0,0,0.05,0.11,0.16,0,0.11,0.06,0.31,0.18,0.08,0.44,-0.1
"ENST00000450783","","ENSG00000233461","                                            ENSG00000233461  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0.1,0.04,0.42,-0.06
"ENST00000451100","","ENSG00000244757","                                            ENSG00000244757  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0.83,0.4,0.49,0.76,0.93,0.51,0.12,0,0.24,0,0.36,0.09,0.73,0,0.12,0,0.25,0.2,0.45,0.2,0.45,-0.25
"ENST00000451350","","ENSG00000225889","                                            ENSG00000225889  is an Uncategorized gene.                                            Diseases associated with ENSG00000225889 include Astrocytoma.                                                                                                                                    ",0,0.31,0.27,0,0.19,0.13,0.05,0.04,0,0,0,0,0,0.08,0.22,0.05,0.04,0.04,0.09,0,0.11,0.05,0.47,-0.06
"ENST00000451355","","ENSG00000225092","                                            ENSG00000225092  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.4,0.17,0.2,0.21,0.17,0.44,0.87,0.12,0.47,0.08,0.27,0.3,0.27,0.3,0.04,0.04,0.04,0,0.31,0.04,0.34,0.16,0.47,-0.18
"ENST00000451368","","ENSG00000225792","                                            ENSG00000225792  is an Uncategorized gene.                                                                                                                                                                                ",0.47,0,0,0,0,0.52,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0.11,0.05,0.45,-0.06
"ENST00000451601","","ENSG00000225140","                                            ENSG00000225140  is an Uncategorized gene.                                                                                                                                                                                ",0.18,0.08,0.16,0,0.09,0.04,0.51,0.23,0,0.04,0,0.08,0.04,0.07,0,0,0.11,0.08,0.23,0,0.14,0.06,0.43,-0.08
"ENST00000451614","","ENSG00000228360","                                            ENSG00000228360  is a Pseudogene.                                                                                                                                                                                ",0,0,3.32,0,0,3.72,0,0,0,0,0,0,0,1.23,0,0,2.43,0,0,0,0.78,0.37,0.47,-0.42
"ENST00000451707","","ENSG00000235158","                                            ENSG00000235158  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.09,0.04,0.11,0.02,0.06,0.04,0.07,0.04,0.02,0,0,0,0.04,0,0.06,0.05,0.02,0.04,0,0.03,0.05,0.02,0.45,-0.03
"ENST00000451733","","ENSG00000232936","                                            ENSG00000232936  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0.63,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0.07,0.03,0.49,-0.04
"ENST00000451781","","ENSG00000285756","                                            ENSG00000285756  is an Uncategorized gene.                                                                                                                                                                                ",0.26,0.3,0,0,0.48,0,3.34,0,0,1.08,0,0,1.42,0.27,0,0.27,0.33,0,0,0,0.49,0.23,0.47,-0.26
"ENST00000451781","","ENSG00000285756","                                            ENSG00000285756  is an Uncategorized gene.                                                                                                                                                                                ",0.26,0.3,0,0,0.48,0,3.34,0,0,1.08,0,0,1.42,0.27,0,0.27,0.33,0,0,0,0.49,0.23,0.47,-0.26
"ENST00000452364","","ENSG00000223947","                                            ENSG00000223947  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0.25,0.28,0.3,0.3,0.16,0.08,0.29,0.1,0.08,0,0.16,0.17,0.08,0.1,0.05,0.02,0.02,0.08,0.08,0.2,0.08,0.39,-0.12
"ENST00000452436","","ENSG00000176134","                                            ENSG00000176134  is a Pseudogene.                                                                                                                                                                                ",0,0,0,0,0,0,1.77,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0.2,0.09,0.46,-0.11
"ENST00000452528","","ENSG00000236957","                                            ENSG00000236957  is a Pseudogene.                                                                                                                                                                                ",0.07,0.07,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.02,0.01,0.44,-0.01
"ENST00000453508","","ENSG00000230578","                                            ENSG00000230578  is a Pseudogene.                                                                                                                                                                                ",0,0.22,0.68,0,0,0.67,0.2,0,0.25,0,0.21,0.22,0,0.21,0,0,0,0,0.23,0,0.22,0.09,0.39,-0.14
"ENST00000453631","NFYC","ENSG00000066136","This gene encodes one subunit of a trimeric complex forming a highly conserved transcription factor that binds with high specificity to CCAAT motifs in the promoters of a variety of genes. The encoded protein, subunit C, forms a tight dimer with the B subunit, a prerequisite for subunit A association. The resulting trimer binds to DNA with high specificity and affinity. Subunits B and C each contain a histone-like motif. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2008]",1.82,0.37,0.12,0.69,3.68,2.22,2.35,0,0.26,4.61,0,1.02,0.96,0,0.53,0.11,1.74,0.39,0,0.01,1.28,0.48,0.37,-0.81
"ENST00000454534","","ENSG00000227813","                                            ENSG00000227813  is a Pseudogene.                                                                                                                                                                                ",0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0.43,0.16,0.07,0.44,-0.09
"ENST00000454877","","ENSG00000228005","                                            ENSG00000228005  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0.12,0.45,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0.26,0.06,0.03,0.41,-0.04
"ENST00000454882","","ENSG00000233064","                                            ENSG00000233064  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.88,0,0.64,0,0,0.94,3.34,0,0.44,0,0,0,0.87,1.31,0,0,0.46,0,0.48,0,0.69,0.31,0.45,-0.38
"ENST00000454980","","ENSG00000233818","                                            ENSG00000233818  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.3,1.16,0.9,2.74,0.65,0.87,0.99,1.6,0.23,0.66,0.26,1.74,0.53,0,0.15,0.42,0.3,0.32,0,0.28,1.05,0.4,0.38,-0.65
"ENST00000454980","","ENSG00000233818","                                            ENSG00000233818  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.3,1.16,0.9,2.74,0.65,0.87,0.99,1.6,0.23,0.66,0.26,1.74,0.53,0,0.15,0.42,0.3,0.32,0,0.28,1.05,0.4,0.38,-0.65
"ENST00000454994","","ENSG00000274944","                                            ENSG00000274944  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is MYCBP.",0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.02,0.01,0.4,-0.01
"ENST00000455503","","ENSG00000237976","                                            ENSG00000237976  is an Uncategorized gene.                                                                                                                                                                                ",1.07,0,0,0,0,0.51,0.16,1.01,1.78,0,0,0.16,0,0,0,1.2,0.33,0,0,0.65,0.5,0.23,0.47,-0.27
"ENST00000456346","","ENSG00000235972","                                            ENSG00000235972  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0.09,0,0.09,0,0.16,0,0.08,0,0,0,0,0,0,0,0,0.02,0.01,0.44,-0.01
"ENST00000456921","","ENSG00000228238","                                            ENSG00000228238  is a Pseudogene.                                                                                                                                                                                ",0.23,0.17,0.98,0.86,0.46,0.48,0,0.24,0.3,0,0.15,0.4,0.54,0.08,0.31,0,0.08,0,0,0.08,0.41,0.16,0.4,-0.25
"ENST00000456944","","ENSG00000224945","                                            ENSG00000224945  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.55,2.98,0.45,4.62,0.29,0.19,1.11,0.19,1.15,0,0.36,0.74,0.66,0.89,1.94,0,0,0,0.38,0.76,1.39,0.57,0.41,-0.82
"ENST00000457251","","ENSG00000235485","                                            ENSG00000235485  is a Pseudogene.                                                                                                                                                                                ",0,0,0,0,0.03,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0.42,0
"ENST00000457707","","ENSG00000229766","                                            ENSG00000229766  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.14,0,0.11,0.08,0,0.15,0.07,0.07,0,0,0,0,0.07,0,0,0,0.11,0.07,0.04,0.03,0.07,0.03,0.47,-0.04
"ENST00000457921","","ENSG00000243004","                                            ENSG00000243004  is an Uncategorized gene.                                                                                                                                                                                ",0.18,0.21,0,0,0,1.21,0,0.41,0.19,0,0.76,0,0,0.19,0,0,0,0,0,0,0.25,0.1,0.39,-0.15
"ENST00000457976","","ENSG00000237422","                                            ENSG00000237422  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,1.34,1.12,0.44,1.83,0.71,0.27,0.49,0,0,0.51,0.49,0.25,0,0,1.55,0,0.26,0,0.69,0.31,0.44,-0.38
"ENST00000457996","","ENSG00000233029","                                            ENSG00000233029  is an Uncategorized gene.                                                                                                                                                                                ",0.07,0.07,0.09,0.06,0.04,0.09,0.12,0.04,0,0.24,0.05,0.05,0,0.07,0,0,0,0.02,0.11,0,0.06,0.03,0.48,-0.03
"ENST00000459374","","ENSG00000238713","                                            ENSG00000238713  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",2.19,1.06,0.98,0,1.04,2.15,2.63,0,0,0,0.96,0,0,0,1.73,0.91,0,1.1,0,0,1.12,0.47,0.42,-0.65
"ENST00000462300","","ENSG00000241912","                                            ENSG00000241912  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0.78,0,0,0,0.53,0,0,0.72,0,0,0,0,0,0,0.58,0,0,0,0.14,0.06,0.4,-0.09
"ENST00000467896","","ENSG00000240497","                                            ENSG00000240497  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,6.61,3.01,0,5.63,0,0,4.43,0,0,0,1.45,0,0,2.9,2.89,0,0,0.89,2.19,0.81,0.37,-1.37
"ENST00000468242","","ENSG00000240207","                                            ENSG00000240207  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,1.33,0.42,0,0,0.39,0.24,0,0,0,0,0,0.15,0,0,0.38,0,0,0.51,0.15,0.26,0.12,0.45,-0.15
"ENST00000469183","","ENSG00000283549","                                            ENSG00000283549  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.31,0.17,0.38,0,0,0,0.3,0,1.03,0,0.16,0.32,0,0,0.16,0,0,0,0.16,0.2,0.24,0.1,0.41,-0.14
"ENST00000471946","MDM2","ENSG00000135679","This gene encodes a nuclear-localized E3 ubiquitin ligase. The encoded protein can promote tumor formation by targeting tumor suppressor proteins, such as p53, for proteasomal degradation. This gene is itself transcriptionally-regulated by p53. Overexpression or amplification of this locus is detected in a variety of different cancers. There is a pseudogene for this gene on chromosome 2. Alternative splicing results in a multitude of transcript variants, many of which may be expressed only in tumor cells. [provided by RefSeq, Jun 2013]",4.71,4.28,2.3,19.28,5.72,15.71,18.84,2.63,0,7.18,8.12,12.96,0,6.77,0,4.37,0,2.74,4.14,1.07,8.16,4.02,0.49,-4.15
"ENST00000474798","","ENSG00000239462","                                            ENSG00000239462  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,1.62,0.53,8.51,1.11,1.49,2.02,0.97,0.51,0,0,0,0.49,0.52,3.48,0,0,1.47,0.6,0.41,-0.88
"ENST00000477314","","ENSG00000287908","                                            ENSG00000287908  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is ARHGEF25.",0.56,0,0,0,0,0.36,0.25,0,0,1.37,0,0,0.16,0,0,0,0,0.46,0,0,0.13,0.06,0.48,-0.07
"ENST00000480694","","ENSG00000176349","                                            ENSG00000176349  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.03,0,0,0,0,0.01,0,0,0.03,0.02,0.01,0,0,0,0,0,0,0,0,0.02,0.01,0,0.43,0
"ENST00000481897","RAB3IP","ENSG00000127328","                                            RAB3IP (RAB3A Interacting Protein) is a Protein Coding gene.                                            Diseases associated with RAB3IP include Nephronophthisis 15 and Bardet-Biedl Syndrome 3.                                            Among its related pathways are Organelle biogenesis and maintenance and RAB GEFs exchange GTP for GDP on RABs.                                            Gene Ontology (GO) annotations related to this gene include Rab guanyl-nucleotide exchange factor activity.                                            An important paralog of this gene is RAB3IL1.",0.16,0.12,0.1,0,0,0.04,0.27,0,0,0,0,0.04,0.09,0.19,0,0,0.04,0,0,0,0.08,0.04,0.48,-0.04
"ENST00000482431","","ENSG00000243024","                                            ENSG00000243024  is a Pseudogene.                                                                                                                                                                                ",0,0,0.11,0.4,0,0.13,0,0.12,0,0,0,0,0.06,0,0.25,0,0,0,0,0.07,0.08,0.04,0.44,-0.05
"ENST00000483901","","ENSG00000243655","                                            ENSG00000243655  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0.28,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0.26,0.28,0,0,0.13,0.05,0.42,-0.08
